JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6,Race 0 Bubble 7
5001,-1,-1,-1,-1,-1,-1,-1,-1
5003,-1,-1,-1,-1,-1,-1,-1,-1
5005,-1,-1,-1,-1,-1,-1,-1,-1
5007,-1,-1,-1,-1,-1,-1,-1,-1
5009,-1,-1,-1,-1,-1,-1,-1,-1
5011,-1,-1,-1,-1,-1,-1,-1,-1
5013,-1,-1,-1,-1,-1,-1,-1,-1
5015,-1,-1,-1,-1,-1,-1,-1,-1
5017,-1,-1,-1,-1,-1,-1,-1,-1
5019,-1,-1,-1,-1,-1,-1,-1,-1
5021,-1,-1,-1,-1,-1,-1,-1,-1
5023,-1,-1,-1,-1,-1,-1,-1,-1
5025,-1,-1,-1,-1,-1,-1,-1,-1
5027,-1,-1,-1,-1,-1,-1,-1,-1
5029,-1,-1,-1,-1,-1,-1,-1,-1
5031,-1,-1,-1,-1,-1,-1,-1,-1
5033,-1,-1,-1,-1,-1,-1,-1,-1
5035,-1,-1,-1,-1,-1,-1,-1,-1
5037,-1,-1,-1,-1,-1,-1,-1,-1
5039,-1,-1,-1,-1,-1,-1,-1,-1
5041,-1,-1,-1,-1,-1,-1,-1,-1
5043,-1,-1,-1,-1,-1,-1,-1,-1
5045,-1,-1,-1,-1,-1,-1,-1,-1
5047,-1,-1,-1,-1,-1,-1,-1,-1
5049,-1,-1,-1,-1,-1,-1,-1,-1
5051,-1,-1,-1,-1,-1,-1,-1,-1
5053,-1,-1,-1,-1,-1,-1,-1,-1
5055,-1,-1,-1,-1,-1,-1,-1,-1
5057,-1,-1,-1,-1,-1,-1,-1,-1
5059,-1,-1,-1,-1,-1,-1,-1,-1
5061,-1,-1,-1,-1,-1,-1,-1,-1
5063,-1,-1,-1,-1,-1,-1,-1,-1
5065,-1,-1,-1,-1,-1,-1,-1,-1
5067,-1,-1,-1,-1,-1,-1,-1,-1
5069,-1,-1,-1,-1,-1,-1,-1,-1
5071,-1,-1,-1,-1,-1,-1,-1,-1
5073,-1,-1,-1,-1,-1,-1,-1,-1
5075,-1,-1,-1,-1,-1,-1,-1,-1
5077,-1,-1,-1,-1,-1,-1,-1,-1
5079,-1,-1,-1,-1,-1,-1,-1,-1
5081,-1,-1,-1,-1,-1,-1,-1,-1
5083,-1,-1,-1,-1,-1,-1,-1,-1
5085,-1,-1,-1,-1,-1,-1,-1,-1
5087,-1,-1,-1,-1,-1,-1,-1,-1
5089,-1,-1,-1,-1,-1,-1,-1,-1
5091,-1,-1,-1,-1,-1,-1,-1,-1
5093,-1,-1,-1,-1,-1,-1,-1,-1
5095,-1,-1,-1,-1,-1,-1,-1,-1
5097,-1,-1,-1,-1,-1,-1,-1,-1
5335,-1,-1,-1,-1,-1,-1,-1,-1
5337,-1,-1,-1,-1,-1,-1,-1,-1
5339,-1,-1,-1,-1,-1,-1,-1,-1
5341,-1,-1,-1,-1,-1,-1,-1,-1
5343,-1,-1,-1,-1,-1,-1,-1,-1
5345,-1,-1,-1,-1,-1,-1,-1,-1
5347,-1,-1,-1,-1,-1,-1,-1,-1
5349,-1,-1,-1,-1,-1,-1,-1,-1
5351,-1,-1,-1,-1,-1,-1,-1,-1
5353,-1,-1,-1,-1,-1,-1,-1,-1
5355,-1,-1,-1,-1,-1,-1,-1,-1
5357,-1,-1,-1,-1,-1,-1,-1,-1
5359,-1,-1,-1,-1,-1,-1,-1,-1
5361,-1,-1,-1,-1,-1,-1,-1,-1
5363,-1,-1,-1,-1,-1,-1,-1,-1
34971,-1,-1,-1,-1,-1,-1,-1,-1
34973,-1,-1,-1,-1,-1,-1,-1,-1
34975,-1,-1,-1,-1,-1,-1,-1,-1
