JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 1 Bubble 0,Race 1 Bubble 1,Race 1 Bubble 2,Race 1 Bubble 3,Race 1 Bubble 4,Race 1 Bubble 5,Race 1 Bubble 6,Race 1 Bubble 7
3617,1,0,0,1,1,1,0,0,0,0,0
3619,0,1,0,1,0,0,1,1,0,0,0
3621,1,0,0,1,0,0,1,1,0,0,0
3623,0,1,0,1,1,1,0,0,0,0,0
3625,0,1,0,1,0,0,0,0,0,0,0
3627,1,0,0,1,1,0,0,1,0,0,0
3629,0,1,0,1,1,1,0,0,0,0,0
3631,1,0,0,1,0,0,1,1,0,0,0
3633,1,0,0,1,0,0,0,1,0,0,0
3635,0,1,0,0,1,1,1,0,0,0,0
3637,1,0,0,1,0,0,0,1,0,0,0
3639,0,1,0,1,1,0,0,0,0,0,0
3641,0,1,0,0,1,1,1,0,0,0,0
3643,0,1,0,0,1,1,1,0,0,0,0
3645,1,0,0,1,1,0,0,0,0,0,0
3647,1,0,0,1,1,0,0,0,0,0,0
3649,1,0,0,1,0,0,0,1,0,0,0
3651,1,0,0,1,1,0,0,1,0,0,0
3653,1,0,0,1,1,0,0,0,0,0,0
3655,1,0,0,1,0,0,0,0,0,0,0
3657,1,0,0,1,0,0,0,1,1,0,0
3659,1,0,0,1,0,1,0,1,0,0,0
3661,0,1,0,0,1,1,0,1,0,0,0
3663,1,0,0,1,0,0,0,0,0,0,0
3665,0,1,0,0,1,0,1,1,0,0,0
3667,1,0,0,1,1,1,0,1,0,0,0
3669,0,1,0,1,1,0,1,0,0,0,0
3671,1,0,0,1,0,0,0,0,0,0,0
3673,1,0,0,1,0,0,0,1,0,0,0
3675,0,1,0,0,1,1,0,1,0,0,0
3677,1,0,0,1,1,0,0,1,0,0,0
3679,1,0,0,1,1,0,0,1,0,0,0
3681,1,0,0,1,1,0,0,1,0,0,0
3683,1,0,0,1,1,0,0,1,0,0,0
3685,0,1,0,1,1,1,0,0,0,0,0
3687,1,0,0,1,1,1,0,0,0,0,0
3689,1,0,0,1,1,1,0,0,0,0,0
3691,1,0,0,1,0,0,0,1,0,0,0
3693,1,0,0,1,0,0,0,1,0,0,0
3695,1,0,0,1,0,1,0,1,0,0,0
3697,1,0,0,1,0,0,0,1,0,0,0
3699,0,1,0,1,1,1,0,0,0,0,0
3701,1,0,0,1,0,1,0,1,0,0,0
3703,1,0,0,0,0,0,0,1,1,0,0
3705,1,0,0,1,1,0,0,0,0,0,0
3707,0,1,0,1,1,0,0,0,0,0,0
3709,7,7,7,7,7,7,7,7,7,7,7
3711,7,7,7,7,7,7,7,7,7,7,7
3713,7,7,7,7,7,7,7,7,7,7,7
3715,7,7,7,7,7,7,7,7,7,7,7
3717,7,7,7,7,7,7,7,7,7,7,7
3719,7,7,7,7,7,7,7,7,7,7,7
3721,7,7,7,7,7,7,7,7,7,7,7
3723,7,7,7,7,7,7,7,7,7,7,7
3725,7,7,7,7,7,7,7,7,7,7,7
3727,7,7,7,7,7,7,7,7,7,7,7
3729,7,7,7,7,7,7,7,7,7,7,7
3731,7,7,7,7,7,7,7,7,7,7,7
3733,7,7,7,7,7,7,7,7,7,7,7
3735,7,7,7,7,7,7,7,7,7,7,7
3737,7,7,7,7,7,7,7,7,7,7,7
3739,7,7,7,7,7,7,7,7,7,7,7
3741,7,7,7,7,7,7,7,7,7,7,7
3743,7,7,7,7,7,7,7,7,7,7,7
3745,7,7,7,7,7,7,7,7,7,7,7
3747,7,7,7,7,7,7,7,7,7,7,7
3749,7,7,7,7,7,7,7,7,7,7,7
3751,0,1,0,0,0,0,0,1,0,0,0
3753,0,1,0,0,1,0,1,0,1,0,0
3755,1,0,0,1,0,0,0,1,0,0,0
3757,0,1,0,1,1,0,0,1,0,0,0
3759,1,0,0,1,0,1,0,0,1,0,0
3761,0,1,0,1,1,0,1,0,0,0,0
3763,0,1,0,1,1,0,0,1,0,0,0
3765,0,1,0,1,1,1,0,0,0,0,0
3767,0,1,0,1,1,1,0,0,0,0,0
3769,1,0,0,1,0,0,0,1,0,0,0
3771,0,1,0,1,1,1,0,0,0,0,0
3773,0,1,0,1,1,1,0,0,0,0,0
3775,1,0,0,1,0,0,0,1,0,0,0
3777,0,1,0,0,1,0,1,0,1,0,0
3779,0,1,0,0,1,1,1,0,0,0,0
3781,0,1,0,1,1,0,1,0,0,0,0
3783,0,1,0,0,1,0,1,1,0,0,0
3785,0,1,0,0,1,1,1,0,0,0,0
3787,0,1,0,0,1,1,1,0,0,0,0
3789,0,1,0,0,1,1,1,0,0,0,0
3791,1,0,0,1,0,0,0,1,0,0,0
3793,1,0,0,1,0,0,0,1,0,0,0
3795,1,0,0,1,1,0,0,1,0,0,0
3797,1,0,0,1,1,0,0,1,0,0,0
3799,0,1,0,0,1,1,0,0,0,0,0
3801,1,0,0,1,0,0,1,1,0,0,0
3803,1,0,0,1,1,1,0,0,0,0,0
3805,1,0,0,1,0,0,0,0,0,0,0
3807,1,0,0,1,1,0,0,1,0,0,0
3809,0,1,0,1,1,0,1,0,0,0,0
3811,0,1,0,1,1,0,1,0,0,0,0
3813,1,0,0,1,0,0,0,1,0,0,0
3815,1,0,0,1,1,0,0,1,0,0,0
3817,0,1,0,0,1,1,1,0,0,0,0
3819,1,0,0,1,1,0,0,1,0,0,0
3821,1,0,0,1,1,0,0,1,0,0,0
3823,0,1,0,0,1,1,1,0,0,0,0
3825,0,1,0,1,1,0,1,0,0,0,0
3827,1,0,0,1,0,0,0,1,1,0,0
3829,1,0,0,1,0,0,0,1,0,0,0
3831,1,0,0,1,0,0,0,1,0,0,0
3833,0,1,0,1,1,1,0,0,0,0,0
3835,0,1,0,0,1,1,1,0,0,0,0
3837,0,1,0,1,1,1,0,0,0,0,0
3839,0,1,0,0,1,1,1,0,0,0,0
3841,1,0,0,1,1,0,0,1,0,0,0
3843,1,0,0,1,1,0,0,1,0,0,0
3845,1,0,0,1,1,0,0,1,0,0,0
3847,0,1,0,1,0,0,1,1,0,0,0
3849,1,0,0,1,1,0,0,1,0,0,0
3851,1,0,0,1,1,1,0,0,0,0,0
3853,1,0,0,1,0,0,0,1,0,0,1
3855,0,1,0,0,1,1,1,0,0,0,0
3857,1,0,0,1,1,1,0,0,0,0,0
3859,0,1,0,0,1,1,1,0,0,0,0
3861,1,0,0,1,1,0,0,1,0,0,0
3863,0,1,0,0,1,1,1,0,0,0,0
3865,1,0,0,1,1,0,0,1,0,0,0
3867,0,1,0,0,1,1,1,0,0,0,0
3869,1,0,0,1,1,0,1,0,0,0,0
3871,0,1,0,1,1,1,0,0,0,0,0
3873,1,0,0,1,1,0,0,1,0,0,0
3875,1,0,0,1,0,1,0,1,0,0,0
3877,0,1,0,0,1,1,0,1,0,0,0
3879,0,1,0,1,1,0,1,0,0,0,0
3881,1,0,0,1,0,1,0,1,0,0,0
3883,1,0,0,1,0,0,0,1,0,0,0
3885,1,0,0,1,0,1,0,1,0,0,0
3887,1,0,0,1,0,1,0,1,0,0,0
3889,0,1,0,1,1,1,0,0,0,0,0
3891,1,0,0,1,0,0,0,1,0,0,0
3893,1,0,0,1,0,1,0,1,0,0,0
3895,1,0,0,1,0,1,0,1,0,0,0
3897,1,0,0,1,1,0,0,1,0,0,0
3899,1,0,0,0,1,1,1,0,0,0,0
3901,1,0,0,1,0,1,0,1,0,0,0
3903,0,1,0,0,1,0,1,0,0,0,0
3905,0,1,0,0,1,0,1,0,1,0,0
3907,1,0,0,1,1,0,0,1,0,0,0
3909,1,0,0,1,1,0,0,1,0,0,0
3911,0,1,0,1,0,1,0,1,0,0,0
3913,1,0,0,1,1,0,0,1,0,0,0
8139,0,1,0,0,1,1,1,0,0,0,0
8141,1,0,0,1,1,0,0,1,0,0,0
8143,0,1,0,1,1,0,0,1,0,0,0
8145,0,1,0,0,1,1,1,0,0,0,0
8147,1,0,0,1,1,1,0,0,0,0,0
11525,0,1,0,1,1,0,1,0,0,0,0
11527,1,0,0,1,1,0,0,1,0,0,0
11529,0,1,0,0,1,0,1,0,0,0,0
11531,0,1,0,0,1,1,1,0,0,0,0
11533,0,1,0,0,1,1,0,1,0,0,0
11535,0,1,0,1,1,1,0,0,0,0,0
11537,0,1,0,1,0,1,1,0,0,0,0
11539,0,1,0,0,1,0,1,1,0,0,0
11541,1,0,0,1,1,0,0,0,0,0,0
11543,1,0,0,1,1,0,0,1,0,0,0
11545,1,0,0,1,1,0,0,1,0,0,0
11547,0,1,0,0,1,0,0,0,0,0,0
11549,1,0,0,1,1,0,1,0,0,0,0
11551,0,1,0,0,1,1,0,0,0,0,0
11553,0,1,0,0,1,0,0,0,0,0,0
11555,0,1,0,1,0,1,1,0,0,0,0
11557,0,1,0,0,1,0,0,0,0,0,0
11559,0,1,0,0,1,1,1,0,0,0,0
11561,0,1,0,0,1,0,0,0,0,0,0
11563,0,1,0,0,1,0,1,1,0,0,0
11565,1,0,0,1,0,1,1,0,0,0,0
11567,0,1,0,1,0,0,0,0,0,0,0
11569,0,1,0,0,1,1,0,1,0,0,0
11571,1,0,0,0,1,1,0,1,0,0,0
11573,1,0,0,0,0,0,0,0,1,0,0
11575,1,0,0,1,1,1,0,0,0,0,0
11577,1,0,0,1,1,0,0,0,0,0,0
11579,1,0,0,1,0,0,0,0,0,0,0
11581,0,1,0,0,1,1,0,1,0,0,0
11583,0,1,0,0,1,1,0,1,0,0,0
11585,0,1,0,1,0,1,0,1,0,0,0
11587,1,0,0,1,1,1,0,0,0,0,0
11589,1,0,0,1,1,1,0,0,0,0,0
11591,1,0,0,0,1,1,1,0,0,0,0
11593,1,0,0,1,1,0,1,0,0,0,0
11595,0,1,0,1,1,1,0,0,0,0,0
11597,0,1,0,0,1,0,0,1,0,0,0
11599,0,1,0,0,1,0,0,1,0,0,0
11601,0,1,0,0,0,0,0,1,0,0,0
11603,0,1,0,1,1,0,0,0,0,0,0
11605,0,1,0,1,0,0,0,0,0,0,0
11607,1,0,0,1,0,0,0,0,0,0,0
11609,0,1,0,0,1,1,1,0,0,0,0
11611,0,1,0,0,1,1,1,0,0,0,0
11613,0,1,0,1,0,1,1,0,0,0,0
11615,0,1,0,1,0,1,1,0,0,0,0
11617,1,0,0,1,1,0,0,1,0,0,0
11619,1,0,0,1,1,0,0,1,0,0,0
11621,0,1,0,0,0,1,1,1,0,0,0
11623,0,1,0,0,1,1,1,0,0,0,0
11625,1,0,0,0,1,1,1,0,0,0,0
11627,1,0,0,0,1,0,0,0,0,0,0
11629,0,1,0,1,0,0,0,0,0,0,0
11631,0,1,0,0,1,1,0,0,0,0,0
11633,1,0,0,1,1,0,0,1,0,0,0
11635,1,0,0,1,0,1,1,0,0,0,0
11637,0,1,0,1,0,1,1,0,0,0,0
11639,1,0,0,1,0,0,0,0,0,0,0
11641,0,1,0,0,0,1,0,0,0,0,0
11643,1,0,0,1,1,1,0,0,0,0,0
11645,1,0,0,1,0,1,1,0,0,0,0
11647,0,1,0,1,1,0,0,1,0,0,0
11649,0,1,0,0,1,1,0,0,1,0,0
11651,0,1,0,0,1,0,1,1,0,0,0
11653,1,0,0,1,1,1,0,0,0,0,0
11655,0,1,0,1,1,0,1,0,0,0,0
11657,1,0,0,1,0,0,1,1,0,0,0
11659,1,0,0,1,0,0,1,1,0,0,0
11661,0,1,0,0,1,1,1,0,0,0,0
11663,1,0,0,1,1,0,0,1,0,0,0
11665,1,0,0,1,0,1,0,1,0,0,0
11667,1,0,0,1,1,1,0,0,0,0,0
11669,1,0,0,0,1,0,0,1,0,0,0
11671,0,1,0,0,1,1,1,0,0,0,0
11673,0,1,0,1,1,1,0,0,0,0,0
11675,0,1,0,1,1,1,0,0,0,0,0
11677,1,0,0,1,1,1,0,0,0,0,0
11679,0,1,0,1,1,1,0,0,0,0,0
11681,0,1,0,0,1,1,1,0,0,0,0
11683,0,1,0,1,0,1,1,0,0,0,0
11685,0,1,0,0,1,0,0,0,0,0,0
11687,0,1,0,1,1,1,0,0,0,0,0
11689,1,0,0,1,1,0,0,1,0,0,0
11691,1,0,0,1,1,0,0,1,0,0,0
11693,1,0,0,1,0,0,0,0,0,0,0
11695,0,1,0,1,0,0,1,0,0,0,0
11697,1,0,0,1,0,1,0,1,0,0,0
11699,0,1,0,0,1,0,1,0,0,0,0
11701,1,0,0,1,1,1,0,0,0,0,0
11703,0,1,0,1,0,0,1,1,0,0,0
11705,1,0,0,1,1,1,0,0,0,0,0
11707,1,0,0,1,0,0,0,1,0,0,0
11709,1,0,0,1,0,0,0,1,1,0,0
11711,0,0,0,1,1,1,0,0,0,0,0
11713,1,0,0,1,1,1,0,0,0,0,0
11715,1,0,0,1,1,0,0,1,0,0,0
11717,0,1,0,1,1,0,1,0,0,0,0
11719,1,0,0,0,0,0,0,1,0,0,0
11721,0,1,0,0,1,0,0,0,0,0,0
11723,1,0,0,1,1,1,0,0,0,0,0
11725,1,0,0,1,0,0,0,1,0,0,0
11727,1,0,0,1,1,0,0,1,0,0,0
11729,0,1,0,1,0,0,0,0,0,0,0
11731,1,0,0,0,0,1,1,1,0,0,0
11733,0,1,0,1,1,0,1,0,0,0,0
11735,1,0,0,1,1,1,0,0,0,0,0
11737,0,1,0,0,1,0,1,1,0,0,0
11739,0,1,0,0,1,1,1,0,0,0,0
11741,1,0,0,1,1,0,0,1,0,0,0
11743,0,1,0,1,1,1,0,0,0,0,0
11745,0,1,0,0,1,0,1,1,0,0,0
11747,1,0,0,1,0,1,0,1,0,0,0
11749,1,0,0,1,1,1,0,0,0,0,0
11751,0,1,0,0,0,1,1,1,0,0,0
11753,1,0,0,1,1,1,0,0,0,0,0
11755,1,0,0,1,1,0,0,1,0,0,0
11757,0,1,0,0,1,0,0,0,0,0,0
11759,0,1,0,0,1,1,1,0,0,0,0
11761,0,1,0,1,1,0,0,1,0,0,0
11763,1,0,0,0,1,1,0,1,0,0,0
11765,1,0,0,0,1,1,0,1,0,0,0
11767,0,1,0,1,1,0,0,1,0,0,0
11769,0,1,0,1,1,0,1,0,0,0,0
11771,0,1,0,0,0,1,0,0,0,0,0
11773,1,0,0,1,1,0,0,1,0,0,0
11775,1,0,0,1,0,0,0,1,0,0,0
11777,1,0,0,1,1,0,0,1,0,0,0
11779,0,1,0,0,1,1,1,0,0,0,0
11781,1,0,0,1,0,0,0,1,0,0,0
11783,1,0,0,1,1,0,0,0,0,1,0
11785,1,0,0,0,1,0,0,1,0,0,0
11787,0,1,0,0,1,0,0,1,0,0,0
11789,1,0,0,1,1,1,0,0,0,0,0
11791,0,1,0,1,1,0,1,0,0,0,0
11793,1,0,0,1,1,1,0,0,0,0,0
11795,1,0,0,1,1,0,1,0,0,0,0
11797,0,1,0,1,1,0,1,0,0,0,0
11799,0,1,0,0,0,1,0,0,0,0,0
11801,1,0,0,1,1,1,0,0,0,0,0
11803,1,0,0,1,0,0,0,0,0,0,0
11805,1,0,0,1,0,0,0,1,0,0,0
11807,1,0,0,1,0,0,0,1,0,0,0
11809,1,0,0,1,1,0,0,1,0,0,0
11811,1,0,0,0,1,1,0,1,0,0,0
11813,1,0,0,1,1,0,0,0,0,0,0
11815,0,1,0,1,0,0,1,1,0,0,0
11817,0,1,0,0,1,0,0,1,0,0,0
11819,0,1,0,1,1,0,1,0,0,0,0
11821,1,0,0,1,0,1,0,1,0,0,0
11823,1,0,0,1,1,1,0,0,0,0,0
11825,1,0,0,1,0,0,0,1,0,0,0
11827,1,0,0,0,1,0,0,1,0,0,0
11829,1,0,0,1,0,1,0,1,0,0,0
11831,0,1,0,1,1,0,0,1,0,0,0
11833,1,0,0,1,0,1,0,1,0,0,0
11835,1,0,0,1,0,0,0,1,0,0,0
11837,0,1,0,1,1,0,1,0,0,0,0
11839,1,0,0,1,1,1,0,0,0,0,0
11841,0,1,0,1,1,0,0,1,0,0,0
11843,1,0,0,1,0,1,0,1,0,0,0
11845,0,1,0,1,1,0,0,0,0,0,0
11847,0,1,0,0,1,1,1,0,0,0,0
11849,1,0,0,1,0,0,0,1,0,0,0
11851,0,1,0,0,1,0,0,0,0,0,0
11853,0,1,0,1,0,1,0,1,0,0,0
11855,0,1,0,0,1,1,1,0,0,0,0
11857,0,1,0,1,1,1,0,0,0,0,0
11859,0,1,0,0,1,1,1,0,0,0,0
11861,0,1,0,1,1,1,0,0,0,0,0
11863,0,1,0,0,1,0,1,1,0,0,0
11865,0,1,0,0,1,0,1,0,1,0,0
11867,0,1,0,0,1,0,1,0,1,0,0
11869,1,0,0,1,0,1,0,1,0,0,0
11871,0,1,0,1,1,0,1,0,0,0,0
11873,1,0,0,1,0,1,0,1,0,0,0
11875,0,1,0,0,1,1,1,0,0,0,0
11877,0,1,0,1,1,0,0,1,0,0,0
11879,0,1,0,0,1,1,1,0,0,0,0
11881,0,1,0,0,1,1,1,0,0,0,0
11883,1,0,0,1,1,0,0,1,0,0,0
11885,1,0,0,1,1,0,0,0,0,0,0
11887,0,1,0,1,1,1,0,0,0,0,0
11889,0,1,0,0,1,0,1,0,0,0,0
11891,0,1,0,0,1,0,1,0,0,0,0
11893,0,1,0,0,1,0,1,1,0,0,0
11895,1,0,0,1,1,0,0,1,0,0,0
11897,1,0,0,1,1,0,0,0,0,0,0
11899,0,1,0,1,1,0,0,1,0,0,0
11901,1,0,0,1,0,0,0,0,0,0,0
11903,1,0,0,1,1,1,0,0,0,0,0
11905,0,1,0,0,1,0,1,0,0,0,0
11907,1,0,0,1,1,1,0,0,0,0,0
11909,0,1,0,0,1,1,1,0,0,0,0
11911,0,1,0,0,1,0,1,0,0,0,0
11913,0,1,0,0,1,0,1,0,0,0,0
11915,1,0,0,1,1,0,0,1,0,0,0
11917,0,1,0,0,1,1,1,0,0,0,0
11919,1,0,0,1,1,0,0,1,0,0,0
11921,1,0,0,1,1,0,1,0,0,0,0
11923,0,1,0,0,1,1,1,0,0,0,0
11925,0,1,0,0,1,1,1,0,0,0,0
11927,1,0,0,1,0,1,0,0,0,0,0
11929,0,1,0,0,1,1,0,1,0,0,0
11931,1,0,0,1,1,0,0,1,0,0,0
11933,0,1,0,1,1,1,0,0,0,0,0
11935,1,0,0,1,1,0,0,1,0,0,0
11937,0,1,0,0,1,1,1,0,0,0,0
11939,0,1,0,1,1,1,0,0,0,0,0
11941,0,1,0,0,0,0,1,1,1,0,0
11943,1,0,0,1,0,0,0,0,0,0,0
11945,0,0,0,0,1,1,0,0,0,0,0
11947,1,0,0,1,1,1,0,0,0,0,0
11949,1,0,0,1,1,1,0,0,0,0,0
11951,1,0,0,1,1,1,0,0,0,0,0
11953,1,0,0,0,1,0,1,1,0,0,0
11955,1,0,0,1,1,1,0,0,0,0,0
11957,1,0,0,1,1,0,0,1,0,0,0
11959,1,0,0,1,1,0,0,1,0,0,0
11961,1,0,0,1,1,0,0,1,0,0,0
11963,1,0,0,1,1,0,0,1,0,0,0
11965,1,0,0,1,1,0,0,1,0,0,0
11967,1,0,0,1,0,0,0,0,0,0,0
11969,0,1,0,1,1,1,0,0,0,0,0
11971,0,1,0,0,1,0,0,0,0,0,0
11973,0,1,0,0,1,0,0,0,0,0,0
11975,1,0,0,1,1,1,0,0,0,0,0
11977,0,1,0,0,0,0,0,1,0,0,0
11979,1,0,0,1,1,0,0,1,0,0,0
11981,1,0,0,1,1,0,0,1,0,0,0
11983,0,1,0,1,0,1,0,0,0,0,0
11985,1,0,0,1,1,1,0,0,0,0,0
11987,0,1,0,1,1,1,0,0,0,0,0
11989,1,0,0,0,1,0,1,1,0,0,0
11991,0,1,0,1,0,0,1,1,0,0,0
11993,1,0,0,1,1,0,1,0,0,0,0
11995,1,0,0,1,0,0,0,1,0,0,0
11997,1,0,0,1,1,1,0,0,0,0,0
11999,0,1,0,1,1,0,0,1,0,0,0
12001,0,0,0,0,0,0,0,0,0,1,0
12003,1,0,0,0,1,0,1,1,0,0,0
12005,1,0,0,1,1,1,0,0,0,0,0
12007,1,0,0,1,0,1,0,1,0,0,0
12009,1,0,0,1,1,0,0,1,0,0,0
12011,0,1,0,1,1,1,0,0,0,0,0
12013,0,1,0,1,1,1,0,0,0,0,0
12015,1,0,0,1,0,0,1,1,0,0,0
12017,1,0,0,1,1,0,0,1,0,0,0
12019,1,0,0,1,1,0,0,0,0,0,0
12021,0,1,0,1,1,0,0,1,0,0,0
12023,0,1,0,0,0,1,1,0,0,0,0
12025,0,1,0,0,0,1,1,0,0,0,0
12027,0,1,0,0,1,0,1,0,0,0,0
12029,0,1,0,0,0,0,0,0,0,0,0
12031,0,0,0,0,1,1,0,0,0,0,0
12033,0,1,0,0,1,0,0,0,0,0,0
12035,1,0,0,1,1,0,0,0,0,0,0
12037,0,1,0,0,1,0,0,1,0,0,0
12039,0,1,0,0,1,1,1,0,0,0,0
12041,0,1,0,1,0,0,0,0,1,1,0
12043,0,1,0,1,0,0,0,1,0,1,0
12045,0,1,0,0,1,0,0,1,0,0,0
12047,1,0,0,1,1,0,0,1,0,0,0
12049,1,0,0,0,1,0,0,1,0,0,0
12051,0,1,0,1,1,1,0,0,0,0,0
12053,0,1,0,0,1,1,1,0,0,0,0
12055,1,0,0,1,0,0,0,0,0,0,0
12057,1,0,0,1,0,0,0,0,0,0,0
12059,0,1,0,0,1,1,1,0,0,0,0
12061,0,1,0,1,0,0,1,0,1,0,0
12063,0,1,0,1,1,0,1,0,0,0,0
12065,0,1,0,1,0,1,1,0,0,0,0
12067,0,1,0,0,1,0,1,0,1,0,0
12069,0,1,0,0,1,1,1,0,0,0,0
12071,0,1,0,1,1,1,0,0,0,0,0
12073,0,1,0,0,1,1,0,0,0,0,0
12075,1,0,0,0,0,0,1,0,0,0,0
12077,0,1,0,0,1,1,1,0,0,0,0
12079,1,0,0,1,1,1,0,0,0,0,0
12081,0,1,0,1,1,0,1,0,0,0,0
12083,0,1,0,0,1,1,1,0,0,0,0
21793,0,1,0,0,1,1,1,0,0,0,0
21795,0,1,0,1,1,0,1,0,0,0,0
21797,1,0,0,0,1,1,1,0,0,0,0
21799,1,0,0,1,0,0,0,1,0,0,0
21801,1,0,0,1,0,1,0,1,0,0,0
21803,1,0,0,0,1,0,0,0,0,0,0
21805,0,1,0,0,0,1,1,1,0,0,0
21807,0,1,0,0,0,1,0,0,0,0,0
21809,0,1,0,0,1,1,1,0,0,0,0
21811,1,0,0,1,0,1,0,1,0,0,0
21813,1,0,0,1,0,1,0,1,0,0,0
21815,0,1,0,0,1,0,1,1,0,0,0
21817,1,0,0,1,0,1,0,1,0,0,0
21819,1,0,0,1,0,1,0,0,0,0,0
21821,1,0,0,1,0,1,0,1,0,0,0
21823,0,1,0,0,0,0,0,1,0,0,0
21825,1,0,0,1,1,0,0,1,0,0,0
21827,0,1,0,1,1,0,1,0,0,0,0
21829,0,0,0,1,1,0,1,0,0,0,0
21831,1,0,0,1,1,0,0,1,0,0,0
21833,1,0,0,1,0,0,0,1,0,0,0
21835,1,0,0,1,1,0,1,0,0,0,0
21837,0,1,0,0,1,0,1,0,0,0,0
21839,1,0,0,1,0,1,0,1,0,0,0
21841,0,1,0,0,1,1,1,0,0,0,0
21843,0,1,0,1,0,0,0,1,0,0,0
21845,0,1,0,0,1,1,1,0,0,0,0
21847,0,1,0,0,0,1,1,0,0,0,0
21849,1,0,0,1,0,0,0,1,0,0,0
21851,0,1,0,0,1,1,1,0,0,0,0
21853,1,0,0,1,1,1,0,0,0,0,0
21855,1,0,0,1,0,1,0,1,0,0,0
21857,1,0,0,1,0,1,0,1,0,0,0
21859,1,0,0,1,0,1,0,1,0,0,0
21861,1,0,0,1,0,1,0,1,0,0,0
21863,1,0,0,1,0,0,0,0,0,0,0
21865,1,0,0,1,0,1,0,1,0,0,0
21867,1,0,0,1,1,0,0,1,0,0,0
21869,1,0,0,1,0,1,0,1,0,0,0
21871,1,0,0,1,0,1,0,1,0,0,0
21873,0,1,0,1,1,0,0,1,0,0,0
21875,0,1,0,0,1,1,1,0,0,0,0
21877,0,1,0,0,1,1,1,0,0,0,0
21879,0,1,0,1,1,0,1,0,0,0,0
21881,1,0,0,1,0,1,0,1,0,0,0
21883,1,0,0,1,0,1,0,1,0,0,0
21885,0,1,0,1,1,1,0,0,0,0,0
21887,1,0,0,1,0,0,1,1,0,0,0
21889,0,1,0,0,1,1,1,0,0,0,0
21891,1,0,0,1,0,1,0,1,0,0,0
21893,1,0,0,1,0,1,0,1,0,0,0
21895,1,0,0,1,0,1,0,0,0,0,0
